name,rna_index,sb_index,puck_id,species,chemistry,vdj,cellranger,store_path
mck_1,SI-TT-A5,SI-NT-A10,Puck_230525_28,Mouse,,,,
mck_3,SI-TT-A3,SI-NT-E1,Puck_240403_02,Mouse,,,,
mck_4,SI-TT-A4,SI-NT-E2,Puck_240403_04,Mouse,,,,
mck_7a,SI-TT-A11,SI-NT-E9,Puck_240403_07,Mouse,,,,
mck_7b,SI-TT-A12,SI-NT-E10,Puck_240403_07,Mouse,,,,
mck_8a,SI-TT-F7,SI-NT-F8,Puck_240422_03,Mouse,,,,
mck_8b,SI-TT-F8,SI-NT-F9,Puck_240422_03,Mouse,,,,
mck_9b,SI-TT-F10,SI-NT-F11,Puck_240422_06,Mouse,,,,
mck_10a,SI-TT-G4,SI-TT-D12,Puck_U0002_013,Mouse,,,,
mck_10b,SI-TT-G5,SI-TT-G2,Puck_U0002_013,Mouse,,,,
mck_11a,SI-TT-F1,SI-TT-A8,Puck_U0008_016,Mouse,,,,
mck_11b,SI-TT-F2,SI-TT-A9,Puck_U0008_016,Mouse,,,,
mck_11c,SI-TT-F3,SI-TT-A10,Puck_U0008_016,Mouse,,,,
mck_12a,SI-TT-F4,SI-NT-F4,Puck_240422_08,Mouse,,,,
mck_12b,SI-TT-F5,SI-NT-F5,Puck_240422_08,Mouse,,,,
mck_13,SI-TT-F6,SI-NT-F6,Puck_240422_05,Mouse,,,,
mck_15,SI-TT-G6,SI-TT-G3,Puck_U0002_015,Mouse,,,,
mck_5a,SI-TT-A5,SI-NT-E3,Puck_240403_05,Human,,,,
mck_5b,SI-TT-A6,SI-NT-E4,Puck_240403_05,Human,,,,
mck_5c,SI-TT-A7,SI-NT-E5,Puck_240403_05,Human,,,,
mck_6a,SI-TT-A8,SI-NT-E6,Puck_240403_06,Human,,,,
mck_6b,SI-TT-A9,SI-NT-E7,Puck_240403_06,Human,,,,
mck_6c,SI-TT-A10,SI-NT-E8,Puck_240403_06,Human,,,,
